Unit_ID,Region,Equipment_Type,Equipment_Quantity,Maintenance_Status,Fuel_Consumption_Litres,Supply_Requests,Delivery_Date,Delivery_Status,Personnel_Count,Operational_Readiness,Monthly_Cost_INR
Unit-118,Northern Command,Engineering Equipment,59,Decommissioned,4629.5,14,2026-05-07,In Transit,755,0.65,1722288.37
Unit-115,Central Command,Artillery Support,106,Awaiting Parts,2966.0,13,04/04/2026,Cancelled,182,0.48,2344647.74
Unit-127,Eastern Command,Communication Equipment,208,Operational,3394.4,27,05/06/2026,Cancelled,777,0.45,943094.78
Unit-121,Central Command,Medical  Unit,18,Operational,4726.2,30,28/06/2026,Delivered,82,0.84,808538.07
Unit-103,Northern Command,Communication Equipment,125,Awaiting Parts,219.2,25,10/06/2026,In Transit,400,0.67,620682.79
Unit-112,Central Command,Medical  Unit,170,Operational,3269.3,5,01-05-2026,Delayed,515,0.93,349360.62
Unit-112,Eastern Command,Transport Vehicle,214,Under Maintenance,4332.5,11,02-08-2026,In Transit,270,0.7,1311756.75
Unit-109,Central Command,Medical Unit,93,Under Maintenance,,19,17/03/2026,Delayed,746,0.98,207727.08
Unit-115,Northern Command,COMMUNICATION EQUIPMENT,194,Awaiting Parts,417.2,28,04/03/2026,Delayed,196,0.58,844515.17
Unit-109,Southern Command,Communication Equipment,106,Operational,,8,19-05-2026,Delayed,264,0.53,593474.77
Unit-106,Western Command,transport vehicle,106,Awaiting Parts,4801.7,22,16/06/2026,Delayed,574,0.96,544557.88
Unit-106,Western Command,Medical  Unit,46,Operational,1643.7,23,02-08-2026,Delivered,439,0.49,666130.42
Unit-115,Southern Command,Medical Unit,77,Awaiting Parts,2675.5,40,2026-01-08,Delayed,714,0.84,1743830.19
Unit-103,Northern Command,Communication Equipment,129,Operational,3544.4,34,07-06-2026,Cancelled,426,0.8,1421752.4
Unit-127,Southern Command,Medical Unit,14,Awaiting Parts,2934.4,0,2026-07-02,Delivered,539,0.56,1357679.33
Unit-118,Southern Command,transport vehicle,7,Operational,4613.1,33,07-04-2026,Delayed,52,0.53,1642662.55
Unit-118,Western Command,transport vehicle,12,Under Maintenance,1430.6,34,01/05/2026,Cancelled,790,0.45,1009522.72
Unit-112,Eastern Command,Engineering Equipment,240,Decommissioned,3900.5,28,26-04-2026,Cancelled,797,0.74,2303927.06
Unit-103,Western Command,Medical Unit,250,Awaiting Parts,2304.0,29,2026-05-10,In Transit,394,0.45,188893.97
Unit-124,Central Command,Medical Unit,171,Operational,4589.3,18,2026-04-22,In Transit,498,0.44,749378.78
Unit-106,Northern Command,COMMUNICATION EQUIPMENT,210,Awaiting Parts,4071.0,0,2026-04-08,Delayed,269,0.77,89099.04
Unit-109,Western Command,Transport Vehicle,10,Under Maintenance,2384.4,32,2026-04-16,Delivered,639,0.97,387245.58
Unit-112,Northern Command,Transport Vehicle,192,Awaiting Parts,4369.6,11,09/08/2026,Cancelled,191,0.82,1760765.12
Unit-109,Northern Command,Transport Vehicle,129,Decommissioned,4211.2,37,2026-06-26,Cancelled,104,0.45,2303455.96
Unit-103,Western Command,Communication Equipment,82,Awaiting Parts,4608.0,25,15/01/2026,Delayed,668,0.43,1371093.53
Unit-100,Eastern Command,Communication Equipment,24,Awaiting Parts,3679.0,3,17/06/2026,Delivered,135,0.43,2056391.81
Unit-115,Eastern Command,Artillery Support,38,Awaiting Parts,663.1,37,2026-04-23,Delayed,470,0.47,1765153.76
Unit-109,Northern Command,Engineering Equipment,65,Operational,2913.5,14,17-02-2026,In Transit,176,0.53,1036086.6
Unit-100,Central Command,Engineering Equipment,18,Decommissioned,,4,16/05/2026,Delayed,192,0.69,2010827.66
Unit-112,Southern Command,COMMUNICATION EQUIPMENT,179,Operational,2557.0,26,2026-06-30,In Transit,98,0.5,1167765.82
Unit-109,Eastern Command,transport vehicle,19,Operational,4575.3,23,2026-01-07,Delayed,369,0.95,2056700.94
Unit-118,Eastern Command,COMMUNICATION EQUIPMENT,78,Awaiting Parts,851.5,13,2026-04-25,Delayed,217,0.75,354938.98
Unit-127,Southern Command,Artillery Support,212,Under Maintenance,3334.0,5,04/08/2026,Delivered,753,0.43,42386193.79
Unit-112,Central Command,Transport Vehicle,25,Operational,1063.0,36,05/05/2026,Delayed,287,0.96,735570.0
Unit-112,Southern Command,Transport Vehicle,115,Decommissioned,1819.4,1,17-06-2026,Delayed,565,0.9,781857.8
Unit-124,Eastern Command,Communication Equipment,9,Under Maintenance,1310.3,12,27-06-2026,Delivered,615,0.66,1988385.67
Unit-121,Eastern Command,Artillery Support,35,Under Maintenance,4058.0,35,2026-01-04,In Transit,740,0.51,684826.97
Unit-100,Eastern Command,Medical Unit,135,Decommissioned,1939.0,17,12-07-2026,Cancelled,421,0.77,1204339.95
Unit-115,Eastern Command,Artillery Support,161,Under Maintenance,4334.6,33,11-05-2026,Delayed,611,0.92,321560.35
Unit-115,Western Command,Medical Unit,97,Operational,186.2,2,23-05-2026,Cancelled,518,0.97,2279303.3
Unit-124,Northern Command,Medical  Unit,243,Awaiting Parts,2377.6,29,20/07/2026,Delayed,,0.6,660894.73
Unit-118,Eastern Command,Medical Unit,166,Decommissioned,3081.1,17,2026-07-02,In Transit,642,0.53,598473.77
Unit-118,Central Command,transport vehicle,26,Operational,4108.6,8,19/05/2026,Delivered,505,0.75,1142861.2
Unit-115,Eastern Command,transport vehicle,132,Awaiting Parts,153.1,8,17/01/2026,Delayed,,0.98,2191780.45
Unit-100,Eastern Command,Artillery Support,78,Awaiting Parts,2168.9,34,2026-05-09,Cancelled,665,0.54,1179224.63
Unit-115,Central Command,Artillery Support,220,Under Maintenance,1985.1,0,2026-01-01,Delivered,271,0.67,2033016.96
Unit-112,Eastern Command,Engineering Equipment,96,Awaiting Parts,2002.3,18,2026-01-29,Delivered,712,0.65,1607737.72
Unit-109,Southern Command,Communication Equipment,220,Operational,3762.3,21,2026-03-28,Cancelled,463,0.56,2033708.07
Unit-112,Central Command,transport vehicle,188,Operational,64198.5,14,08-02-2026,,447,0.71,2244079.0
Unit-112,Northern Command,Communication Equipment,32,Decommissioned,4428.0,34,2026-06-01,Delayed,,0.8,1182034.06
Unit-100,Northern Command,COMMUNICATION EQUIPMENT,23,Operational,1244.9,32,26-04-2026,Delivered,460,0.97,797744.6
Unit-127,Eastern Command,transport vehicle,45,,3429.0,26,2026-01-15,Delayed,608,0.61,1979268.63
Unit-100,Northern Command,Transport Vehicle,172,Under Maintenance,4257.4,27,2026-07-25,Delayed,653,0.97,1132260.35
Unit-109,Central Command,Engineering Equipment,9,Operational,4838.4,22,2026-02-19,In Transit,71,0.5,908063.15
Unit-121,Central Command,Transport Vehicle,192,Awaiting Parts,2592.1,34,07/05/2026,Delayed,450,0.67,2381120.49
Unit-112,Southern Command,COMMUNICATION EQUIPMENT,137,Operational,260.6,4,14/02/2026,Delayed,725,0.46,424397.24
Unit-124,Eastern Command,Medical Unit,59,Decommissioned,67.8,2,05/05/2026,Delivered,429,0.79,1295040.48
Unit-118,Eastern Command,Transport Vehicle,202,Decommissioned,1934.3,19,17/02/2026,In Transit,168,0.66,973647.7
Unit-124,Northern Command,Engineering Equipment,75,Awaiting Parts,4147.3,25,27/03/2026,In Transit,538,0.61,548652.18
Unit-109,Southern Command,Medical  Unit,248,Under Maintenance,1963.1,40,17/06/2026,Delayed,82,0.6,1568633.67
Unit-121,Northern Command,Medical  Unit,45,Under Maintenance,4983.2,16,01/03/2026,Delivered,146,0.6,1886652.45
Unit-124,Western Command,Communication Equipment,10,Awaiting Parts,2153.8,21,2026-04-04,Delivered,489,0.5,1350750.13
Unit-106,Western Command,Medical Unit,72,Decommissioned,108.0,39,2026-05-04,Delivered,788,0.45,2488849.9
Unit-112,Western Command,transport vehicle,88,Decommissioned,,38,2026-05-24,Delayed,729,0.65,773102.59
Unit-103,Eastern Command,Transport Vehicle,100,,4394.0,34,01/08/2026,Delayed,425,0.91,344894.89
Unit-109,Western Command,Communication Equipment,113,Operational,1655.4,20,2026-05-02,Cancelled,502,0.82,843857.71
Unit-115,Central Command,Communication Equipment,139,Decommissioned,2337.0,26,17/02/2026,Delivered,728,0.67,1586618.36
Unit-115,Central Command,Artillery Support,90,Decommissioned,1705.4,21,21-06-2026,,535,0.62,646383.9
Unit-127,Western Command,Artillery Support,184,Operational,1756.4,22,15-06-2026,Cancelled,386,0.57,1745558.46
Unit-109,Southern Command,Communication Equipment,157,Operational,2753.3,22,2026-06-23,Delivered,767,0.54,2209328.48
Unit-103,Western Command,COMMUNICATION EQUIPMENT,105,Operational,4664.4,22,09/01/2026,Cancelled,618,0.59,1287013.36
Unit-115,Northern Command,COMMUNICATION EQUIPMENT,46,Awaiting Parts,2094.6,1,26-05-2026,Delayed,264,0.9,50386.8
Unit-127,Northern Command,Communication Equipment,218,Decommissioned,3413.5,28,04/02/2026,Delivered,661,0.99,1817918.47
Unit-100,Northern Command,Communication Equipment,44,Decommissioned,4124.5,39,2026-04-21,Delivered,720,0.86,840913.77
Unit-103,Northern Command,transport vehicle,243,Operational,4707.4,28,2026-08-04,Delivered,213,0.87,1638025.8
Unit-118,Eastern Command,COMMUNICATION EQUIPMENT,123,Decommissioned,1104.1,1,27-01-2026,In Transit,322,0.98,1097726.76
Unit-112,Central Command,Artillery Support,75,Decommissioned,2525.4,11,11-03-2026,Delivered,276,0.42,95163.05
Unit-115,Southern Command,Engineering Equipment,103,Decommissioned,1625.4,26,2026-04-09,Cancelled,,0.63,1054432.52
Unit-103,Western Command,Engineering Equipment,87,Under Maintenance,860.8,14,2026-05-02,In Transit,285,0.95,591831.91
Unit-109,Northern Command,transport vehicle,57,Under Maintenance,440.1,18,26-04-2026,Delivered,29,0.74,699158.41
Unit-100,Eastern Command,Medical Unit,192,Under Maintenance,2715.9,14,2026-05-13,Delayed,637,0.5,2187323.44
Unit-118,Eastern Command,Artillery Support,88,Under Maintenance,2769.5,25,2026-06-16,In Transit,138,0.48,2265839.9
Unit-109,Southern Command,Medical Unit,53,Under Maintenance,965.1,25,20-01-2026,In Transit,730,0.93,1657537.21
Unit-118,Central Command,COMMUNICATION EQUIPMENT,167,Decommissioned,2936.4,29,23-02-2026,Delayed,339,0.54,1535346.89
Unit-100,Northern Command,Engineering Equipment,91,Awaiting Parts,1364.3,15,18/01/2026,Delivered,791,0.76,2079371.64
Unit-115,Northern Command,Medical  Unit,130,Operational,251.2,8,22/01/2026,In Transit,757,0.71,182949.08
Unit-109,Southern Command,COMMUNICATION EQUIPMENT,162,Under Maintenance,1521.4,30,2026-05-10,Delayed,483,0.81,2358113.59
Unit-121,Northern Command,transport vehicle,73,Operational,,31,2026-04-11,In Transit,382,0.98,261615.98
Unit-127,Central Command,Medical Unit,229,Under Maintenance,541.6,17,30/03/2026,Cancelled,429,0.73,454977.73
Unit-103,Central Command,Medical  Unit,183,Awaiting Parts,2043.8,31,14-01-2026,Delivered,426,0.86,532720.14
Unit-127,Northern Command,Medical  Unit,63,Decommissioned,3307.7,37,24-06-2026,Delayed,466,0.45,2248978.93
Unit-118,Northern Command,Communication Equipment,98,Awaiting Parts,4302.2,38,2026-05-27,In Transit,550,0.44,2233614.65
Unit-124,Western Command,Medical Unit,224,Operational,3405.4,5,19-05-2026,Cancelled,49,0.79,1440818.4
Unit-100,Northern Command,transport vehicle,192,Operational,2288.6,31,2026-07-19,Delayed,234,0.61,817834.21
Unit-100,Central Command,Artillery Support,14,Operational,1452.2,27,12/06/2026,Delayed,653,0.76,240622.99
Unit-100,Central Command,Engineering Equipment,69,Decommissioned,3892.0,30,2026-04-30,Delivered,699,0.63,608184.5
Unit-127,Northern Command,COMMUNICATION EQUIPMENT,118,Under Maintenance,3135.3,30,19/03/2026,Delivered,741,0.57,1682292.18
Unit-112,Central Command,transport vehicle,100,Under Maintenance,2320.2,40,2026-05-24,In Transit,308,0.49,1958542.76
Unit-103,Northern Command,Transport Vehicle,51,Under Maintenance,1068.8,16,2026-03-06,In Transit,521,0.51,50445.09
Unit-115,Western Command,COMMUNICATION EQUIPMENT,229,Operational,176.6,16,25-05-2026,In Transit,569,0.86,1369324.03
Unit-118,Southern Command,transport vehicle,115,Decommissioned,934.9,0,08-06-2026,Cancelled,260,0.67,1565509.38
Unit-121,Western Command,Medical  Unit,101,Under Maintenance,4371.5,39,2026-05-13,In Transit,357,0.72,812579.59
Unit-106,Southern Command,transport vehicle,44,Decommissioned,2222.1,16,2026-05-29,Delayed,362,0.68,2218557.53
Unit-106,Western Command,Engineering Equipment,199,Under Maintenance,393.2,18,12-05-2026,Delayed,783,0.78,2116907.05
Unit-118,Eastern Command,Engineering Equipment,227,Decommissioned,4867.1,3,13/05/2026,Cancelled,350,0.48,1145645.94
Unit-127,Eastern Command,transport vehicle,70,Awaiting Parts,4790.6,39,12-01-2026,In Transit,302,0.58,1817851.57
Unit-118,Central Command,Artillery Support,83,Decommissioned,1788.8,27,11/05/2026,Cancelled,538,0.8,2274391.85
Unit-121,Eastern Command,Communication Equipment,132,Decommissioned,1634.2,25,30/06/2026,Delivered,450,0.82,1400487.07
Unit-121,Western Command,transport vehicle,207,Under Maintenance,2980.5,26,23-04-2026,Cancelled,572,0.8,1381435.87
Unit-112,Central Command,Transport Vehicle,166,Awaiting Parts,710.6,22,18-04-2026,Cancelled,764,0.84,1463054.71
Unit-106,Central Command,transport vehicle,249,Under Maintenance,1302.6,21,12/07/2026,Cancelled,448,0.97,1576934.87
Unit-121,Northern Command,Communication Equipment,38,Awaiting Parts,3787.0,12,23/06/2026,In Transit,623,0.75,1906849.61
Unit-103,Eastern Command,Transport Vehicle,87,Decommissioned,2230.3,1,09-04-2026,In Transit,544,0.98,326482.4
Unit-103,Central Command,Artillery Support,184,Awaiting Parts,2198.8,14,14-05-2026,Cancelled,,0.72,492276.65
Unit-103,Southern Command,COMMUNICATION EQUIPMENT,58,Operational,1263.9,33,2026-04-14,In Transit,259,0.97,726212.96
Unit-121,Eastern Command,transport vehicle,33,,508.4,15,09-04-2026,Cancelled,462,0.97,2129275.01
Unit-127,Western Command,Medical  Unit,191,,2855.1,23,07-05-2026,Delayed,80,0.79,310912.81
Unit-109,Northern Command,Engineering Equipment,15,Under Maintenance,1567.4,34,12-03-2026,In Transit,267,0.56,1123266.17
Unit-124,Southern Command,Medical  Unit,172,Awaiting Parts,2565.3,35,09-06-2026,Delivered,194,0.89,2217208.72
Unit-118,Southern Command,transport vehicle,81,Under Maintenance,4969.5,29,2026-06-15,Cancelled,292,0.54,2039324.6
Unit-121,Northern Command,COMMUNICATION EQUIPMENT,27,Under Maintenance,2054.3,35,11/04/2026,Delayed,699,0.56,2297377.46
Unit-115,Southern Command,Engineering Equipment,156,Operational,634.4,26,12-02-2026,Delayed,520,0.65,2406946.75
Unit-106,Northern Command,Engineering Equipment,151,Operational,2494.8,26,2026-05-27,Delayed,357,0.66,1082251.43
Unit-127,Western Command,Communication Equipment,245,Decommissioned,954.2,10,2026-04-05,Delayed,196,0.42,676862.37
Unit-100,Southern Command,COMMUNICATION EQUIPMENT,76,Under Maintenance,440.2,32,15-05-2026,Cancelled,705,0.77,1962837.1
Unit-127,Western Command,Engineering Equipment,135,Operational,1777.7,27,24-04-2026,Cancelled,540,0.43,1760725.2
Unit-127,Northern Command,transport vehicle,237,Decommissioned,3790.5,3,2026-03-13,Delivered,697,0.57,2342195.23
Unit-103,Northern Command,Communication Equipment,247,Decommissioned,3770.4,29,2026-04-16,In Transit,230,0.72,1487863.32
Unit-103,Western Command,Engineering Equipment,93,Awaiting Parts,2042.3,33,2026-08-08,Delayed,65,0.95,1258508.1
Unit-103,Central Command,Engineering Equipment,94,Awaiting Parts,1151.0,25,2026-04-04,Delayed,753,0.66,1133847.34
Unit-103,Southern Command,COMMUNICATION EQUIPMENT,110,Awaiting Parts,,2,26/02/2026,Delivered,483,0.99,635156.08
Unit-103,Western Command,Engineering Equipment,147,Awaiting Parts,1086.6,7,25-01-2026,Delayed,595,0.99,2080396.85
Unit-115,Northern Command,Transport Vehicle,26,,2559.7,12,07-04-2026,Delayed,739,0.82,429411.1
Unit-100,Western Command,Engineering Equipment,172,Awaiting Parts,1538.5,5,22-02-2026,In Transit,586,0.96,2036198.9
Unit-121,Southern Command,Artillery Support,92,Awaiting Parts,3904.0,24,18/03/2026,Delayed,226,0.4,1728706.72
Unit-100,Central Command,Engineering Equipment,216,Decommissioned,2843.6,9,2026-07-30,In Transit,113,0.48,1762422.54
Unit-124,Northern Command,Medical Unit,67,Awaiting Parts,2466.3,10,01-03-2026,In Transit,,0.93,1851707.36
Unit-124,Eastern Command,transport vehicle,41,Decommissioned,4762.7,5,2026-05-06,Delayed,458,0.86,1454652.63
Unit-115,Northern Command,Transport Vehicle,216,Decommissioned,82166.5,4,2026-06-19,Cancelled,366,0.44,71554.9
Unit-115,Southern Command,Artillery Support,67,Operational,2251.9,1,2026-01-23,Delivered,240,0.68,1199120.89
Unit-112,Northern Command,Medical Unit,153,Operational,1455.1,27,31-01-2026,,128,0.96,971669.54
Unit-106,Southern Command,Medical  Unit,202,Under Maintenance,,7,07/08/2026,Cancelled,769,0.78,503767.89
Unit-121,Eastern Command,Transport Vehicle,156,Decommissioned,477.2,39,2026-06-26,Delayed,655,0.64,2123560.88
Unit-106,Southern Command,Artillery Support,56,Decommissioned,909.3,23,2026-04-06,In Transit,561,0.72,39256647.16
Unit-115,Central Command,Transport Vehicle,152,Under Maintenance,3521.1,31,03-02-2026,Delivered,644,0.43,2489732.36
Unit-127,Eastern Command,Medical  Unit,249,Under Maintenance,1590.2,13,04/05/2026,In Transit,149,0.62,1300717.07
Unit-109,Central Command,transport vehicle,118,Awaiting Parts,3083.4,30,29-07-2026,Delivered,268,0.6,512570.01
Unit-127,Southern Command,Engineering Equipment,241,Decommissioned,4372.9,1,23/03/2026,In Transit,,0.65,1789852.61
Unit-127,Eastern Command,Transport Vehicle,65,Awaiting Parts,1940.1,3,2026-01-04,Cancelled,450,0.78,1703466.06
Unit-106,Southern Command,Communication Equipment,48,Awaiting Parts,4111.0,22,2026-01-26,Delivered,244,0.62,2358243.31
Unit-127,Central Command,Medical Unit,85,Awaiting Parts,1152.6,40,28/07/2026,Delayed,273,0.67,2052711.1
Unit-106,Northern Command,Engineering Equipment,130,Operational,1710.0,6,14/05/2026,Delayed,542,0.64,610863.63
Unit-127,Southern Command,COMMUNICATION EQUIPMENT,213,Under Maintenance,616.7,18,04-01-2026,Cancelled,231,0.43,2244739.42
Unit-103,Central Command,COMMUNICATION EQUIPMENT,79,Operational,4323.2,6,2026-04-20,,621,0.9,2163258.73
Unit-109,Central Command,Medical  Unit,221,Under Maintenance,1161.3,17,2026-04-30,Delivered,427,0.56,2308486.85
Unit-106,Western Command,Engineering Equipment,54,Awaiting Parts,3305.7,14,2026-06-26,Cancelled,550,0.46,944898.44
Unit-109,Western Command,Medical  Unit,199,Decommissioned,880.4,22,2026-05-23,In Transit,141,0.84,1130181.5
Unit-127,Eastern Command,Engineering Equipment,154,Under Maintenance,,31,30/05/2026,Delivered,306,0.54,809733.67
Unit-124,Southern Command,COMMUNICATION EQUIPMENT,150,Decommissioned,1408.8,26,30-07-2026,Delayed,696,0.43,578484.82
Unit-100,Eastern Command,Engineering Equipment,239,Awaiting Parts,289.6,23,24/03/2026,Cancelled,314,0.77,125904.33
Unit-100,Eastern Command,Artillery Support,101,Decommissioned,1058.2,0,2026-04-22,,136,0.89,1045233.33
Unit-115,Southern Command,COMMUNICATION EQUIPMENT,57,Under Maintenance,3384.3,29,2026-05-01,Delivered,507,0.47,1399811.48
Unit-121,Central Command,Transport Vehicle,101,Decommissioned,3978.6,21,31-07-2026,Cancelled,109,0.54,1696238.76
Unit-103,Eastern Command,Communication Equipment,50,Operational,1369.5,27,23-01-2026,In Transit,602,0.82,1312177.3
Unit-115,Eastern Command,COMMUNICATION EQUIPMENT,89,,3303.9,38,28-05-2026,Delayed,778,0.77,2042962.52
Unit-127,Eastern Command,Communication Equipment,131,Decommissioned,655.6,13,23-04-2026,Cancelled,391,0.41,609195.96
Unit-109,Southern Command,Transport Vehicle,17,Decommissioned,2475.3,25,2026-04-09,Delayed,36,0.9,30265923.36
Unit-124,Southern Command,Engineering Equipment,195,Under Maintenance,2382.0,29,08-08-2026,,61,0.46,2370860.34
Unit-106,Northern Command,Medical  Unit,103,Awaiting Parts,2191.0,39,01-04-2026,Cancelled,440,0.4,362787.55
Unit-103,Western Command,transport vehicle,199,Operational,2051.6,3,2026-04-06,Delivered,738,0.76,572177.57
Unit-127,Southern Command,Communication Equipment,146,Operational,4315.4,10,13/04/2026,Delayed,754,0.79,1745478.79
Unit-100,Western Command,Communication Equipment,220,Awaiting Parts,1725.3,35,29-04-2026,Delayed,27,0.55,2269198.93
Unit-112,Northern Command,Communication Equipment,7,Decommissioned,4871.3,26,11-07-2026,In Transit,36,0.95,1852556.86
Unit-100,Western Command,COMMUNICATION EQUIPMENT,206,Decommissioned,3733.7,16,07-05-2026,In Transit,632,0.84,2426826.05
Unit-103,Northern Command,Artillery Support,172,Awaiting Parts,4271.7,5,06/06/2026,Cancelled,503,0.99,974733.68
Unit-109,Central Command,COMMUNICATION EQUIPMENT,159,Under Maintenance,1802.6,10,27/03/2026,In Transit,279,0.68,2187551.64
Unit-100,Southern Command,Medical  Unit,80,Operational,1566.7,36,17-05-2026,Delivered,60,0.92,416878.36
Unit-103,Southern Command,Engineering Equipment,225,Operational,3050.4,27,24/04/2026,In Transit,103,0.84,1639419.38
Unit-109,Central Command,Engineering Equipment,68,Decommissioned,4295.6,22,14/05/2026,Cancelled,604,0.53,398119.44
Unit-121,Northern Command,Medical  Unit,83,Decommissioned,342.7,33,26/02/2026,In Transit,674,0.54,1107291.29
Unit-103,Central Command,Transport Vehicle,159,Under Maintenance,2507.3,34,20-04-2026,Cancelled,619,0.95,935876.77
Unit-118,Southern Command,Medical  Unit,70,Awaiting Parts,1540.7,34,2026-08-01,Delayed,521,0.51,550412.5
Unit-118,Eastern Command,Communication Equipment,247,Awaiting Parts,4185.9,13,2026-06-12,Delayed,398,0.86,787073.08
Unit-124,Eastern Command,Communication Equipment,120,Under Maintenance,2227.9,32,03-02-2026,Cancelled,611,0.57,646331.69
Unit-121,Southern Command,Engineering Equipment,234,Decommissioned,4083.3,8,2026-05-08,Delivered,776,0.58,1745669.35
Unit-112,Southern Command,Artillery Support,22,Operational,2735.7,36,2026-01-15,Cancelled,,0.51,1058371.68
Unit-109,Central Command,Artillery Support,118,,1987.4,9,23/02/2026,Delivered,,0.94,2393399.11
Unit-124,Southern Command,Medical  Unit,33,Decommissioned,4742.2,1,22-06-2026,Cancelled,60,0.55,1296675.33
Unit-106,Central Command,Medical Unit,44,Operational,820.6,36,2026-05-16,Cancelled,364,0.92,1335308.43
Unit-118,Northern Command,Artillery Support,105,Operational,,18,04-04-2026,Delayed,292,0.8,858935.17
Unit-127,Western Command,Artillery Support,114,Under Maintenance,4388.2,21,14-02-2026,In Transit,433,0.91,2452858.49
Unit-112,Eastern Command,COMMUNICATION EQUIPMENT,148,Under Maintenance,1603.6,1,2026-03-23,Cancelled,146,0.97,1165359.62
Unit-100,Eastern Command,Engineering Equipment,86,Under Maintenance,1340.3,6,23-03-2026,Cancelled,136,0.49,1307971.24
Unit-106,Central Command,Transport Vehicle,42,Awaiting Parts,2366.4,36,08/05/2026,In Transit,496,0.62,1076101.19
Unit-115,Eastern Command,Communication Equipment,47,Decommissioned,3985.4,16,2026-02-14,In Transit,650,0.95,1781226.3
Unit-118,Northern Command,Artillery Support,53,Under Maintenance,604.3,2,06/08/2026,Delivered,789,0.78,754044.47
Unit-109,Eastern Command,COMMUNICATION EQUIPMENT,53,Decommissioned,3528.1,14,2026-03-21,In Transit,774,0.63,612606.76
Unit-118,Northern Command,COMMUNICATION EQUIPMENT,170,Under Maintenance,3214.0,5,2026-06-17,Cancelled,732,0.56,2471184.91
Unit-127,Central Command,Communication Equipment,27,Awaiting Parts,1239.7,37,18/04/2026,In Transit,403,0.97,1019217.89
Unit-127,Western Command,Transport Vehicle,137,Awaiting Parts,1415.2,40,30-06-2026,In Transit,549,0.69,1775709.38
Unit-118,Northern Command,Transport Vehicle,219,Under Maintenance,2910.2,25,24/02/2026,In Transit,715,0.87,2104086.68
Unit-100,Central Command,Artillery Support,99,Decommissioned,1236.3,21,2026-03-06,In Transit,,0.96,657597.84
Unit-124,Eastern Command,Communication Equipment,25,Decommissioned,1735.1,23,30-01-2026,In Transit,756,0.58,656213.85
Unit-103,Western Command,Medical Unit,185,Under Maintenance,3055.3,29,12-05-2026,Cancelled,488,0.66,1241965.49
Unit-115,Western Command,Medical  Unit,207,Decommissioned,2221.0,23,29/04/2026,Cancelled,,0.95,1927604.22
Unit-106,Eastern Command,Artillery Support,137,Awaiting Parts,3200.4,39,2026-07-27,,,0.84,605511.75
Unit-106,Western Command,Communication Equipment,77,Awaiting Parts,2650.2,1,2026-05-14,Delayed,712,0.52,150328.43
Unit-103,Northern Command,COMMUNICATION EQUIPMENT,186,Decommissioned,2749.7,3,13-04-2026,Delivered,26,0.43,2063805.0
Unit-109,Western Command,Medical  Unit,43,Awaiting Parts,4084.6,3,08-01-2026,Delayed,348,0.81,1705461.02
Unit-121,Western Command,Medical Unit,200,Decommissioned,4020.1,8,09-05-2026,In Transit,292,0.45,332387.93
Unit-112,Western Command,Engineering Equipment,73,Operational,1691.1,31,2026-03-05,In Transit,719,0.77,2394230.01
Unit-109,Western Command,Communication Equipment,45,Awaiting Parts,2801.6,20,03-03-2026,In Transit,603,0.52,99200.23
Unit-100,Southern Command,transport vehicle,229,Under Maintenance,1344.6,3,2026-01-31,In Transit,563,0.89,1713257.34
Unit-103,Eastern Command,Artillery Support,227,Decommissioned,,0,13-04-2026,,532,0.99,775722.52
Unit-103,Northern Command,COMMUNICATION EQUIPMENT,83,Under Maintenance,1342.5,28,2026-06-15,Cancelled,571,0.9,1418702.43
Unit-100,Eastern Command,Medical  Unit,60,Operational,2411.4,32,07/08/2026,Cancelled,708,1.0,1571989.6
Unit-121,Central Command,Medical  Unit,241,,1554.2,30,26-05-2026,Delayed,787,0.73,2163280.21
Unit-127,Southern Command,Artillery Support,97,Decommissioned,3439.9,38,2026-07-17,Cancelled,310,0.81,837738.41
Unit-109,Central Command,transport vehicle,26,Decommissioned,2728.1,30,2026-05-12,In Transit,554,0.61,1868169.33
Unit-103,Western Command,COMMUNICATION EQUIPMENT,215,Under Maintenance,247.3,31,08/08/2026,Cancelled,452,0.46,2188672.16
Unit-112,Eastern Command,Medical  Unit,209,Under Maintenance,3991.4,1,20/06/2026,Delivered,494,0.78,1529721.74
Unit-118,Eastern Command,transport vehicle,181,Under Maintenance,64393.2,34,2026-04-10,Delivered,370,0.72,920451.98
Unit-127,Eastern Command,Artillery Support,2,Operational,421.2,7,24/06/2026,Delayed,552,0.63,2460139.12
Unit-100,Central Command,Medical Unit,219,Awaiting Parts,2537.2,6,13-07-2026,Cancelled,749,0.65,1035820.95
Unit-112,Eastern Command,Medical Unit,163,Operational,2719.6,1,2026-03-03,In Transit,36,0.94,2166704.56
Unit-112,Southern Command,Artillery Support,121,Under Maintenance,2525.9,14,19-01-2026,Cancelled,91,0.64,917525.03
Unit-106,Northern Command,Transport Vehicle,11,Under Maintenance,3478.5,40,11/01/2026,Delivered,774,0.43,2148420.05
Unit-115,Western Command,COMMUNICATION EQUIPMENT,85,Decommissioned,697.0,36,23/04/2026,Delivered,677,0.76,2098383.05
Unit-109,Northern Command,Artillery Support,239,Operational,1373.9,32,24/03/2026,Cancelled,434,1.0,115875.72
Unit-127,Central Command,Artillery Support,37,Decommissioned,1037.6,38,14/06/2026,Cancelled,647,0.5,45332974.29
